,number,value,datetime_start,datetime_complete,duration,params_gamma,params_loss,params_lr,params_scheduler,params_step_size,params_wd,state
0,0,0.35484933853149414,2025-06-11 16:33:58.038740,2025-06-11 16:51:20.793852,0 days 00:17:22.755112,0.49331986090741753,L1Loss,0.0013124635075370736,StepLR,7.0,0.004892777573815206,COMPLETE
1,1,0.3098522126674652,2025-06-11 16:51:20.794287,2025-06-11 17:09:37.631685,0 days 00:18:16.837398,,L1Loss,6.824740574478318e-05,CosineAnnealingLR,,0.046477234062854214,COMPLETE
2,2,0.18449026346206665,2025-06-11 17:09:37.632326,2025-06-11 17:27:08.424605,0 days 00:17:30.792279,,SmoothL1Loss,0.0002423528177198068,CosineAnnealingLR,,0.009428551807502766,COMPLETE
3,3,0.563011884689331,2025-06-11 17:27:08.425186,2025-06-11 17:44:36.326822,0 days 00:17:27.901636,0.337095413709939,SmoothL1Loss,1.1545531619378942e-05,StepLR,7.0,0.0002630381469688981,COMPLETE
4,4,0.22733402252197266,2025-06-11 17:44:36.327246,2025-06-11 18:02:00.021211,0 days 00:17:23.693965,,MSELoss,0.0002907193667658958,CosineAnnealingLR,,0.027230117501211407,COMPLETE
5,5,0.9165315628051758,2025-06-11 18:02:00.021767,2025-06-11 18:08:55.758471,0 days 00:06:55.736704,0.7378040428874896,SmoothL1Loss,1.228471969717053e-05,StepLR,7.0,0.0001332359150814839,PRUNED
6,6,2.281632661819458,2025-06-11 18:08:55.758730,2025-06-11 18:15:53.375153,0 days 00:06:57.616423,0.261262697307849,MSELoss,0.0037000215980383085,StepLR,7.0,0.060197060578533745,PRUNED
7,7,0.25648319721221924,2025-06-11 18:15:53.375383,2025-06-11 18:33:16.712311,0 days 00:17:23.336928,0.7762700166871462,SmoothL1Loss,0.0002578893842648857,StepLR,10.0,0.007794744185581119,COMPLETE
8,8,0.2433488965034485,2025-06-11 18:33:16.713034,2025-06-11 18:50:34.395156,0 days 00:17:17.682122,0.6001942061605435,MSELoss,0.0008670914401478047,StepLR,8.0,0.00012007515281506176,COMPLETE
9,9,0.8253481984138489,2025-06-11 18:50:34.395865,2025-06-11 18:57:26.946360,0 days 00:06:52.550495,,MSELoss,5.0699827392661516e-05,CosineAnnealingLR,,0.0002229658494940531,PRUNED
10,10,8.478076934814453,2025-06-11 18:57:26.946598,2025-06-11 19:04:20.233624,0 days 00:06:53.287026,,SmoothL1Loss,0.008826725001812358,CosineAnnealingLR,,0.0015258454482185793,PRUNED
11,11,0.22806937992572784,2025-06-11 19:04:20.233846,2025-06-11 19:21:31.586660,0 days 00:17:11.352814,,MSELoss,0.00022723520978366134,CosineAnnealingLR,,0.016634867923661954,COMPLETE
12,12,0.26505523920059204,2025-06-11 19:21:31.587093,2025-06-11 19:38:41.915123,0 days 00:17:10.328030,,SmoothL1Loss,9.051809531515829e-05,CosineAnnealingLR,,0.001428525807781037,COMPLETE
13,13,0.8510314226150513,2025-06-11 19:38:41.915808,2025-06-11 19:45:34.432425,0 days 00:06:52.516617,,MSELoss,0.0007261947949946885,CosineAnnealingLR,,0.017890148237560653,PRUNED
14,14,0.20304428040981293,2025-06-11 19:45:34.432646,2025-06-11 20:02:47.978647,0 days 00:17:13.546001,,L1Loss,0.00014587963673240456,CosineAnnealingLR,,0.09846380633203146,COMPLETE
15,15,0.7745422124862671,2025-06-11 20:02:47.979303,2025-06-11 20:09:41.644261,0 days 00:06:53.664958,,L1Loss,3.449094666204933e-05,CosineAnnealingLR,,0.09671086755401553,PRUNED
16,16,0.23860187828540802,2025-06-11 20:09:41.644479,2025-06-11 20:26:56.807438,0 days 00:17:15.162959,,L1Loss,0.00011613997165204668,CosineAnnealingLR,,0.002017735549974469,COMPLETE
17,17,0.16094420850276947,2025-06-11 20:26:56.807896,2025-06-11 20:44:07.815563,0 days 00:17:11.007667,,L1Loss,0.0004355257646840555,CosineAnnealingLR,,0.008120070663840443,COMPLETE
18,18,0.1751886010169983,2025-06-11 20:44:07.816051,2025-06-11 21:01:18.835226,0 days 00:17:11.019175,,L1Loss,0.0006174457483557429,CosineAnnealingLR,,0.0007004153208290117,COMPLETE
19,19,0.5663310885429382,2025-06-11 21:01:18.835809,2025-06-11 21:09:20.403591,0 days 00:08:01.567782,,L1Loss,0.0006819614388313724,CosineAnnealingLR,,0.0006152172144764854,PRUNED
20,20,0.3818628489971161,2025-06-11 21:09:20.403809,2025-06-11 21:21:59.178523,0 days 00:12:38.774714,,L1Loss,0.0019595052950963647,CosineAnnealingLR,,0.0005887916084010481,PRUNED
21,21,0.18020261824131012,2025-06-11 21:21:59.178872,2025-06-11 21:39:19.775042,0 days 00:17:20.596170,,L1Loss,0.0005162014546555973,CosineAnnealingLR,,0.008097372002287722,COMPLETE
22,22,0.16758769750595093,2025-06-11 21:39:19.775600,2025-06-11 21:56:40.958358,0 days 00:17:21.182758,,L1Loss,0.0004893451957852951,CosineAnnealingLR,,0.003693935581386562,COMPLETE
23,23,1.8012042045593262,2025-06-11 21:56:40.959078,2025-06-11 22:04:59.163069,0 days 00:08:18.203991,,L1Loss,0.0023860798360509534,CosineAnnealingLR,,0.0031947207370458548,PRUNED
24,24,0.16229750216007233,2025-06-11 22:04:59.163283,2025-06-11 22:22:10.885166,0 days 00:17:11.721883,,L1Loss,0.00045190033044892303,CosineAnnealingLR,,0.0007320117516793402,COMPLETE
25,25,0.17968009412288666,2025-06-11 22:22:10.885840,2025-06-11 22:39:22.095365,0 days 00:17:11.209525,,L1Loss,0.00041729120232875745,CosineAnnealingLR,,0.0035850463845950877,COMPLETE
26,26,0.2018926590681076,2025-06-11 22:39:22.096087,2025-06-11 22:56:33.758335,0 days 00:17:11.662248,,L1Loss,0.0012148011307723217,CosineAnnealingLR,,0.0012253608847145813,COMPLETE
27,27,2.705700397491455,2025-06-11 22:56:33.759096,2025-06-11 23:03:26.302352,0 days 00:06:52.543256,,L1Loss,0.004354767495894304,CosineAnnealingLR,,0.004595650569621415,PRUNED
28,28,0.1689813882112503,2025-06-11 23:03:26.302706,2025-06-11 23:20:37.274170,0 days 00:17:10.971464,,L1Loss,0.0003929199253207135,CosineAnnealingLR,,0.0003519277027759336,COMPLETE
29,29,0.2306065559387207,2025-06-11 23:20:37.274792,2025-06-11 23:37:47.785697,0 days 00:17:10.510905,0.11765806692804232,L1Loss,0.001151263089101696,StepLR,5.0,0.0023511468190029897,COMPLETE
30,30,0.7810990810394287,2025-06-11 23:37:47.786358,2025-06-11 23:45:49.351354,0 days 00:08:01.564996,,L1Loss,0.0015313725930434076,CosineAnnealingLR,,0.006209887662954501,PRUNED
31,31,0.18515004217624664,2025-06-11 23:45:49.351611,2025-06-12 00:02:59.769121,0 days 00:17:10.417510,,L1Loss,0.00040386451422775796,CosineAnnealingLR,,0.0003264544301675347,COMPLETE
32,32,0.19353671371936798,2025-06-12 00:02:59.769671,2025-06-12 00:20:11.718478,0 days 00:17:11.948807,,L1Loss,0.00021232235911926487,CosineAnnealingLR,,0.0010094025174982252,COMPLETE
33,33,0.1932673454284668,2025-06-12 00:20:11.719191,2025-06-12 00:37:22.901083,0 days 00:17:11.181892,,L1Loss,0.00017835905664201606,CosineAnnealingLR,,0.0003811740011510657,COMPLETE
34,34,0.17793472111225128,2025-06-12 00:37:22.901541,2025-06-12 00:54:34.101470,0 days 00:17:11.199929,,L1Loss,0.00040919084046431227,CosineAnnealingLR,,0.014560828643673782,COMPLETE
35,35,0.17097768187522888,2025-06-12 00:54:34.101968,2025-06-12 01:11:44.266162,0 days 00:17:10.164194,,L1Loss,0.0003587539706702944,CosineAnnealingLR,,0.00018895771888728768,COMPLETE
36,36,0.8658396005630493,2025-06-12 01:11:44.266855,2025-06-12 01:18:36.487984,0 days 00:06:52.221129,,L1Loss,0.0009441710052068765,CosineAnnealingLR,,0.0003994236444450102,PRUNED
37,37,0.9398899674415588,2025-06-12 01:18:36.488199,2025-06-12 01:25:29.300995,0 days 00:06:52.812796,0.5658174523832313,L1Loss,0.00012964887918515749,StepLR,10.0,0.005182215080292414,PRUNED
38,38,0.1698901206254959,2025-06-12 01:25:29.301221,2025-06-12 01:42:40.435879,0 days 00:17:11.134658,,L1Loss,0.00029632810092510193,CosineAnnealingLR,,0.002250749257396433,COMPLETE
39,39,0.37503084540367126,2025-06-12 01:42:40.436392,2025-06-12 01:55:16.367242,0 days 00:12:35.930850,0.13013279199315575,SmoothL1Loss,6.606507456812396e-05,StepLR,5.0,0.011055747532140227,PRUNED
40,40,0.15365846455097198,2025-06-12 01:55:16.367473,2025-06-12 02:12:26.167004,0 days 00:17:09.799531,,L1Loss,0.0005255282016307133,CosineAnnealingLR,,0.03255916377235661,COMPLETE
41,41,0.15510162711143494,2025-06-12 02:12:26.167745,2025-06-12 02:29:41.639381,0 days 00:17:15.471636,,L1Loss,0.0005953517623519249,CosineAnnealingLR,,0.028662856081825918,COMPLETE
42,42,0.9248536825180054,2025-06-12 02:29:41.640062,2025-06-12 02:36:36.852680,0 days 00:06:55.212618,,L1Loss,0.0005639988079640084,CosineAnnealingLR,,0.03455179618315095,PRUNED
43,43,0.9868941307067871,2025-06-12 02:36:36.853010,2025-06-12 02:43:31.607883,0 days 00:06:54.754873,,L1Loss,0.0009220108540660846,CosineAnnealingLR,,0.025247336970097293,PRUNED
44,44,0.7435876131057739,2025-06-12 02:43:31.608099,2025-06-12 02:50:25.965539,0 days 00:06:54.357440,,MSELoss,0.00156768498784026,CosineAnnealingLR,,0.03801854300724974,PRUNED
45,45,0.19953280687332153,2025-06-12 02:50:25.965757,2025-06-12 03:07:42.878200,0 days 00:17:16.912443,0.35162995991367396,SmoothL1Loss,0.00027736447162451754,StepLR,9.0,0.05307005807259002,COMPLETE
46,46,0.552287220954895,2025-06-12 03:07:42.878708,2025-06-12 03:20:22.809973,0 days 00:12:39.931265,,L1Loss,0.0029917599045347315,CosineAnnealingLR,,0.023458561180570804,PRUNED
47,47,0.18211768567562103,2025-06-12 03:20:22.810192,2025-06-12 03:37:40.017012,0 days 00:17:17.206820,,MSELoss,0.0005189768921585262,CosineAnnealingLR,,0.010548093881422235,COMPLETE
48,48,0.18228699266910553,2025-06-12 03:37:40.017440,2025-06-12 03:54:57.223844,0 days 00:17:17.206404,,L1Loss,0.0008236839170830093,CosineAnnealingLR,,0.07489087843502934,COMPLETE
49,49,0.18378588557243347,2025-06-12 03:54:57.224370,2025-06-12 04:12:14.210608,0 days 00:17:16.986238,,SmoothL1Loss,0.00019203235932309097,CosineAnnealingLR,,0.013476898047393607,COMPLETE
